Experiment,year,crop,variety,dressing,amount,unit
RBK1,1972,winter wheat, Cappelle, Seed dressed with dieldrin, sown at 200 kg.,
RBK1,1972,potatoes, King Edward, Rothamsted once grown chitted Seed, ' Sprin,
RBK1,1972,spring beans, Maris Bead sown at 220 kg.,,,
RBK1,1973,winter wheat, Cappelle, Seed dressed with dieldrin, sown at 200 kg.,
RBK1,1973,potatoes, King Edward, Rothamsted once grown, ] Sprin,
RBK1,1973,spring beans, Maris Bead,, sown at 220 kg.,
RBK1,1974,winter wheats, Cappelle, dressed with dieldrin, sown at 200 kg. ,
RBK1,1974,potatoes, King Edward.  Sprin,,,
RBK1,1974,spring beans, Maris Bead,, sown at 220 kg.,
RBK1,1975,winter wheat, Cappelle, dressed with dieldrin, sown at 200 kg.,
RBK1,1975,potatoes, King Edward, once grown Rothamsted Seed. Sprin,,
RBK1,1975,spring beans, Minor,, sown at 220 kg.,
RBK1,1977,wheat, Cappelle, dressed with chlorfenvinphos, sown at 200 kg.,
RBK1,1977,potatoes, Pentland Crown. Sprin,,,
RBK1,1977,spring beans, Minden sown at 220 kg.,,,
RBK1,1978,wheat, Cappelle, dressed with chlorfenvinphos, sown at 200 kg.,
RBK1,1978,potatoes, Pentland Crown.,,,
RBK1,1978,beans, Minden,, sown at 200 kg.,
RBK1,1979,wheat, Flanders,, sown at 200 kg. ,
RBK1,1979,potatoes, Pentland Crown.,,,
RBK1,1980,w wheat, Flanders,, sown at 200 kg,
RBK1,1980,potatoes, Pentland Crown. : BOT *,,,
RBK1,1981,w wheat, Flanders dressed chlorfenvinphos,, sown at 200 kg.,
RBK1,1981,potatoes, Pentland Crown.,,,
RBK1,1982,w wheat, Flanders, dressed chlorfenvinphos, sown at 200 kg. ,
RBK1,1982,potatoes, Pentland Crown.,,,
RBK1,1983,w wheat, Flanders, dressed chlorfenvinphos, sown at 200 kg.,
RBK1,1983,potatoes, Pentland Crown.,,,
RBK1,1984,w wheat, Flanders, dressed chlorfenvinphos, sown at 210 kg.,
RBK1,1984,potatoes, Pentland Crown.,,,
RBK1,1985,w wheat, Brimstone,, sown at 190 kg.,
RBK1,1985,potatoes, Pentland Crown.,,,
RBK1,1986,w wheat, Brimstone,, sown at 200 kg.,
RBK1,1986,potatoes, Pentland Crown.,,,
RBK1,1987,w wheat, and Squareheads Master, untreated, sown at 190 kg.,
RBK1,1987,w wheat, Brimstone, dressed fonofos, sown at 190 kg.,
RBK1,1987,potatoes, Pentland Crown.,,,
RBK1,1988,w wheat,Squareheads Master, dressed fonofos,180,kg
RBK1,1988,w wheat, Brimstone (sections 3, dressed fonofos,180,kg
RBK1,1988,potatoes, Pentland Crown.,,,
RBK1,1989,w wheat,Squareheads Master, dressed fonofos,180,kg
RBK1,1989,w wheat, Brimstone, dressed fonofos,180,kg
RBK1,1989,potatoes, Pentland Crown.,,,
RBK1,1990,w wheat,Squareheads Master, dressed fonofos,180,kg
RBK1,1990,w wheat, Brimstone, dressed fonofos,180,kg
RBK1,1990,potatoes, Pentland Crown.,,,
RBK1,1991,w wheat, Apollo, dressed fonofos, sown at 180 kg.,
RBK1,1991,potatoes, Pentland Crown.,,,
