year,experiment,start date,end date,operation,plot,type,amount,rate,water,water rate
1978,R/CS/216,29/09/1977,,triple superphosphate,NCAE PK,agronomic fertilization process,1930,kgP2O5/ha,,
1978,R/CS/216,29/09/1977,,muriate of potash,NCAE PK,agronomic fertilization process,460,kgK2O/ha,,
1978,R/CS/216,13/10/1977,,triple superphosphate,WYE PK,agronomic fertilization process,1930,kgP2O5/ha,,
1978,R/CS/216,13/10/1977,,muriate of potash,WYE PK,agronomic fertilization process,460,kgK2O/ha,,
1978,R/CS/216,11/03/1978,,NPK (20:10:10) compound fertilizer,,agronomic fertilization process,440,kg/ha,,
1978,W/CS/216,28/09/1977,,triple superphosphate,NCAE PK,agronomic fertilization process,1930,kgP2O5/ha,,
1978,W/CS/216,28/09/1977,,muriate of potash,NCAE PK,agronomic fertilization process,460,kgK2O/ha,,
1978,W/CS/216,13/10/1977,,triple superphosphate,WYE PK,agronomic fertilization process,1930,kgP2O5/ha,,
1978,W/CS/216,13/10/1977,,muriate of potash,WYE PK,agronomic fertilization process,460,kgK2O/ha,,
1978,W/CS/216,09/03/1978,,NPK (20:10:10) compound fertilizer,,agronomic fertilization process,440,kg/ha,,
1981,R/CS/216,13/04/1981,,NPK (20:10:10) compound fertilizer,,agronomic fertilization process,560,kg/ha,,
1981,W/CS/216,20/02/1981,,NPK (20:10:10) compound fertilizer,,agronomic fertilization process,560,kg/ha,,
1982,R/CS/216,05/04/1982,,NPK (20:10:10) compound fertilizer,,agronomic fertilization process,560,kg/ha,,
1982,W/CS/216,25/03/1982,,NPK (20:10:10) compound fertilizer,,agronomic fertilization process,590,kg/ha,,
1983,R/CS/216,15/03/1983,,NPK (20:10:10) compound fertilizer,,agronomic fertilization process,560,kg/ha,,
1983,R/CS/216,26/05/1983,,Nitro-chalk,,agronomic fertilization process,70,kg/ha,,
1983,W/CS/216,08/03/1983,,NPK (20:10:10) compound fertilizer,,agronomic fertilization process,590,kg/ha,,
1983,W/CS/216,03/06/1983,,Nitro-chalk,,agronomic fertilization process,60,kg/ha,,
1984,R/CS/216,16/03/1984,,NPK (20:10:10) compound fertilizer,,agronomic fertilization process,560,kg/ha,,
1984,W/CS/216,09/03/1984,,NPK (20:10:10) compound fertilizer,,agronomic fertilization process,760,kg/ha,,
1985,R/CS/216,18/03/1985,,NPK (20:10:10) compound fertilizer,,agronomic fertilization process,560,kg/ha,,
1985,W/CS/216,14/03/1985,,NPK (20:10:10) compound fertilizer,,agronomic fertilization process,750,kg/ha,,
1983,R/CS/216,16/09/1982,,Ground Chalk,,liming process,5,t/ha,,
